t,pnl_xbt_usd,pnl_eth_usd,pnl_eth_xbt,funding_fee_eth_usd,funding_fee_xbt_usd,pnl_roll_over,fee_xbt_usd,fee_eth_xbt,total_xbt,bxbt_price,total_xbt_pnl,total_xbt_pnl_without_ethusd_funding,total_usd_pnl,total_usd_pnl_without_ethusd_funding,ethusd_funding_usd
2018-08-05 18:00:00+00:00,28.9736285,14.9628875,11.1848408,-1.986124728,0.221343401,0,0.418994396,0.454213673,1056.01293,6986.13,56.01293006,54.02680533,391313.6111,377438.2855,13875.32555
2018-08-05 19:00:00+00:00,27.15616969,14.90303595,10.40432865,-1.986124728,0.221343401,0,0.420231037,0.455447423,1053.352637,7012.35,53.35263715,51.36651242,374127.3651,360199.9634,13927.40174
2018-08-05 20:00:00+00:00,26.82522494,14.2446689,10.15265865,-2.312066454,0.233189624,0,0.420512193,0.455711663,1052.425205,7014.1,52.42520546,50.113139,367715.6336,351498.5683,16217.06531
2018-08-05 21:00:00+00:00,24.32071283,7.60114685,13.17485865,-2.312066454,0.233189624,0,0.423942908,0.457484063,1046.294168,7055.16,46.29416818,43.98210173,326612.7636,310300.7648,16311.99876
2018-08-05 22:00:00+00:00,24.32002044,6.40411585,15.87405865,-2.312066454,0.233189624,0,0.425047146,0.457617713,1047.794407,7050.14,47.7944069,45.48234045,336957.2599,320656.8677,16300.39219
2018-08-05 23:00:00+00:00,25.98200119,9.2171387,15.95273286,-2.312066454,0.233189624,0,0.425992338,0.45890988,1052.345847,7025.36,52.34584737,50.03378092,367748.4223,351505.3231,16243.09918
2018-08-06 00:00:00+00:00,26.01830938,10.23461505,13.88114697,-2.312066454,0.233189624,0,0.426771347,0.45890988,1051.327267,7031.31,51.327267,49.01520054,360897.9257,344641.0697,16256.85598
2018-08-06 01:00:00+00:00,24.78421638,9.03758405,13.29293697,-2.312066454,0.233189624,0,0.426810891,0.45979638,1048.307007,7043.69,48.30700695,45.9949405,340259.5818,323974.1024,16285.47936
2018-08-06 02:00:00+00:00,18.80625599,6.40411585,9.923736966,-2.312066454,0.233189624,0,0.42915285,0.46419888,1036.319634,7126.09,36.3196339,34.00756745,258816.98,242340.9863,16475.99364
2018-08-06 03:00:00+00:00,18.1311277,7.60114685,10.09419697,-2.312066454,0.233189624,0,0.430585734,0.46468332,1037.010079,7133.91,37.01007929,34.69801284,264026.5748,247532.5008,16494.074
2018-08-06 04:00:00+00:00,20.70876219,9.39669335,10.17953697,-2.41558372,0.313230962,0,0.431081928,0.466577363,1041.489686,7096.35,41.48968597,39.07410225,294425.3331,277283.5055,17141.82753
2018-08-06 05:00:00+00:00,22.08727237,8.4989201,10.21315565,-2.41558372,0.313230962,0,0.432821008,0.467590627,1042.001289,7077.04,42.00128924,39.58570552,297244.804,280149.6214,17095.18261
2018-08-06 06:00:00+00:00,20.8386468,7.96025615,10.35485076,-2.41558372,0.313230962,0,0.433244985,0.468427958,1040.354434,7087.45,40.35443353,37.93884981,286010.0299,268889.7011,17120.32883
2018-08-06 07:00:00+00:00,21.73642298,9.75580265,9.42128076,-2.41558372,0.313230962,0,0.433992707,0.46908777,1042.112779,7076.41,42.11277867,39.69719496,298007.2881,280913.6274,17093.66079
2018-08-06 08:00:00+00:00,26.20880899,10.23461505,11.9462295,-2.41558372,0.313230962,0,0.436900454,0.472359495,1049.582746,7014.31,49.58274635,47.16716263,347788.7535,330845.1005,16943.65304
